username,retweet_count,favorite_count,created_at,id
watsonsmy,0,1,2021-02-04 10:00:01,1357267659230859265
watsonsmy,6,51,2021-02-04 9:30:00,1357260105239076866
watsonsmy,0,7,2021-02-04 8:00:01,1357237458803458049
watsonsmy,0,13,2021-02-04 6:30:00,1357214806311227395
watsonsmy,1,6,2021-02-04 6:00:00,1357207258015277061
watsonsmy,1,12,2021-02-04 4:00:00,1357177059357851649
watsonsmy,2,17,2021-02-04 0:00:01,1357116663464919048
watsonsmy,2,0,2021-02-05 12:02:43,1357660926871175169
watsonsmy,1,0,2021-02-05 12:02:38,1357660903198453763
watsonsmy,2,0,2021-02-05 12:02:25,1357660850132119556
watsonsmy,2,0,2021-02-05 12:02:19,1357660825331224576
watsonsmy,0,1,2021-02-05 12:00:00,1357660242964746251
watsonsmy,67,120,2021-02-05 9:30:00,1357622494664953857
watsonsmy,0,3,2021-02-05 8:15:00,1357603617935482881
watsonsmy,0,7,2021-02-05 8:00:01,1357599848694906882
watsonsmy,0,6,2021-02-05 6:30:00,1357577194730516480
watsonsmy,4,4,2021-02-05 6:00:01,1357569647500009473
watsonsmy,1,3,2021-02-05 5:51:23,1357567478591746048
watsonsmy,0,18,2021-02-05 5:19:33,1357559467076849666
watsonsmy,1,2,2021-02-05 4:30:00,1357546994726756352
watsonsmy,1,1,2021-02-05 4:15:00,1357543219882414080
watsonsmy,0,2,2021-02-05 4:00:00,1357539447416344579
watsonsmy,0,3,2021-02-05 1:18:03,1357498688407408640
watsonsmy,2,17,2021-02-05 0:49:03,1357491390087716864
watsonsmy,0,0,2021-02-06 12:03:28,1358023502960291843
watsonsmy,3,7,2021-02-06 6:30:00,1357939581593690114
watsonsmy,0,3,2021-02-06 6:15:00,1357935806707453952
watsonsmy,77,412,2021-02-06 5:30:00,1357924482778861570
watsonsmy,1,5,2021-02-06 5:19:46,1357921906054189057
watsonsmy,4,31,2021-02-06 2:25:10,1357877969826369536
watsonsmy,0,4,2021-02-06 1:12:59,1357859803742175232
watsonsmy,0,14,2021-02-06 1:07:33,1357858434331234305
watsonsmy,0,2,2021-02-07 12:00:01,1358385021778812929
watsonsmy,0,1,2021-02-07 12:00:00,1358385017756545025
watsonsmy,2,6,2021-02-07 10:00:01,1358354822391427076
watsonsmy,1,16,2021-02-07 8:00:00,1358324620001214467
watsonsmy,1,8,2021-02-07 6:30:00,1358301969765441538
watsonsmy,0,5,2021-02-07 4:15:00,1358267995563425796
watsonsmy,0,0,2021-02-08 12:00:02,1358747413100584961
watsonsmy,0,1,2021-02-08 8:01:37,1358687415666266113
watsonsmy,0,4,2021-02-08 8:01:26,1358687368023166976
watsonsmy,1,18,2021-02-08 5:40:19,1358651853551017985
watsonsmy,0,3,2021-02-08 0:00:00,1358566212037464065
watsonsmy,1,3,2021-02-09 12:00:00,1359109795106725889
watsonsmy,1,1,2021-02-09 11:00:01,1359094699156406283
watsonsmy,0,8,2021-02-09 10:00:01,1359079597841608706
watsonsmy,1,3,2021-02-09 7:49:30,1359046753538854915
watsonsmy,0,1,2021-02-09 7:30:00,1359041844722733059
watsonsmy,1,24,2021-02-09 6:45:20,1359030603920801792
watsonsmy,0,8,2021-02-09 6:30:00,1359026745358209024
watsonsmy,157,341,2021-02-09 5:30:00,1359011646643965952
watsonsmy,0,4,2021-02-09 4:00:10,1358989039311806466
watsonsmy,26,60,2021-02-09 0:00:01,1358928603891658761
watsonsmy,1,0,2021-02-10 10:15:00,1359445756411736070
watsonsmy,1,4,2021-02-10 10:00:01,1359441987976507392
watsonsmy,1,18,2021-02-10 9:30:00,1359434431790936067
watsonsmy,0,1,2021-02-10 8:30:00,1359419333181509632
watsonsmy,1,2,2021-02-10 8:00:01,1359411788253704193
watsonsmy,0,7,2021-02-10 6:00:00,1359381586332950529
watsonsmy,3,10,2021-02-10 5:00:00,1359366485735591936
watsonsmy,0,5,2021-02-10 4:30:00,1359358934155366400
watsonsmy,3,10,2021-02-10 4:00:00,1359351384773169153
watsonsmy,6,18,2021-02-10 2:48:56,1359333499208011777
watsonsmy,2,7,2021-02-10 1:00:01,1359306090672979969
watsonsmy,3,15,2021-02-10 0:00:01,1359290990234767366
